School,Average Debt,Earnings,Average Best Value Score,Good Investment
California State University-Long Beach,17761.272727272728,35889.09090909091,2.221601727027925,True
California State University-Los Angeles,16256.777777777777,33874.07407407407,2.471012977547493,True
California State University-Northridge,16976.88888888889,36948.88888888889,2.428901389101052,True
California State University-Sacramento,18307.775,38472.5,2.256299380949293,True
University of California-Berkeley,14848.179487179486,46797.4358974359,3.3184655845529747,True
University of California-Davis,14551.145454545454,36650.90909090909,2.619293880316261,True
University of California-Irvine,17625.075,38447.5,2.234204876602017,True
University of California-Los Angeles,16627.113636363636,39281.818181818184,2.4258647859863802,True
University of California-Riverside,19267.02857142857,29114.285714285714,1.469014458772819,False
University of California-San Diego,18104.17948717949,37828.205128205125,2.0738312875611498,True
University of California-Santa Barbara,17567.121212121212,37727.27272727273,2.183987614907355,True
University of California-Santa Cruz,19602.5,34043.333333333336,1.7208469764982373,True
Chapman University,20997.157894736843,33042.10526315789,1.5615551523791462,True
Concordia University-Irvine,22025.4,40520.0,1.8593749605935979,True
Claremont McKenna College,15526.0,82400.0,5.269889997441801,True
Dominican University of California,28781.0,69000.0,2.3371076668614665,True
Fresno Pacific University,22595.25,36525.0,1.5565970762320709,True
Harvey Mudd College,20669.5,101000.0,4.34281277652737,True
Holy Names University,42872.0,89400.0,2.054558407832142,True
Humboldt State University,19871.478260869564,25204.347826086956,1.3260436331624974,False
Life Pacific College,23543.5,23050.0,1.0525167086177236,False
University of La Verne,26850.0,32450.0,1.2129761169541557,False
La Sierra University,34214.0,28600.0,0.9055504543583572,False
The Master's University and Seminary,20011.333333333332,29200.0,1.3887212445367858,False
Loyola Marymount University,20447.3125,36600.0,1.6921990180507749,True
Menlo College,22041.666666666668,48900.0,2.1157915688338327,True
Mount Saint Mary's University,29623.0,43400.0,1.5579184805804525,True
Notre Dame de Namur University,25866.333333333332,39400.0,1.6022676693138427,True
Occidental College,19974.125,31375.0,1.4371258147217372,False
Hope International University,26790.0,34400.0,1.2910005254071906,False
Pacific Union College,32179.0,89700.0,2.893548387096774,True
University of the Pacific,20921.3,51120.0,2.6345818983348432,True
Pepperdine University,23361.333333333332,41744.444444444445,1.6916589621978781,True
Point Loma Nazarene University,21977.125,34500.0,1.4496791780708536,False
University of Redlands,26088.909090909092,33581.818181818184,1.2207012944563862,False
San Diego State University,17261.024390243903,36800.0,2.303585456770084,True
University of San Diego,22352.235294117647,39658.82352941176,1.6651661056937852,True
San Francisco State University,18504.1,36434.0,2.104919190021713,True
University of San Francisco,22406.470588235294,43335.294117647056,1.8329024205976963,True
William Jessup University,22045.666666666668,35866.666666666664,1.6360753428452413,True
San Jose State University,17637.076923076922,45597.4358974359,2.8657571992754565,True
Santa Clara University,19004.0,53271.42857142857,2.5868237287194176,True
Simpson University,20106.75,44450.0,2.114851776293274,True
Saint Mary's College of California,22544.125,39000.0,1.574339610490615,True
Sonoma State University,19046.61111111111,37672.22222222222,2.142025100424444,True
Vanguard University of Southern California,22513.625,36475.0,1.6020829151313825,True
University of Southern California,18524.146341463416,47082.92682926829,2.462549428607751,True
Thomas Aquinas College,17781.0,27100.0,1.5055555555555555,True
Westmont College,20637.0,32666.666666666668,1.5339442258137097,True
Whittier College,22139.625,24800.0,1.0292608042277538,False
Woodbury University,34493.333333333336,40966.666666666664,1.1859720206461029,False
Adams State University,23437.666666666668,39133.333333333336,1.6874450092182567,True
University of Colorado Denver/Anschutz Medical Campus,23151.30769230769,37784.61538461538,1.7441795862420935,True
University of Colorado Colorado Springs,23114.88888888889,36416.666666666664,1.6579756317622945,True
University of Colorado Boulder,19135.973684210527,37876.31578947369,1.9335395783477596,True
Colorado School of Mines,22434.916666666668,62775.0,2.6702505421122034,True
Colorado State University-Fort Collins,21234.744680851065,36278.72340425532,1.6529515633746479,True
University of Denver,21462.466666666667,37746.666666666664,1.704409756167423,True
Fort Lewis College,19723.0,27616.666666666668,1.4055038001307338,False
Colorado Mesa University,25642.14285714286,35021.42857142857,1.4196448170686902,False
Metropolitan State University of Denver,26040.595238095237,36971.42857142857,1.5091570133388343,True
University of Northern Colorado,21254.89285714286,30975.0,1.4645470058931076,False
Regis University,26857.416666666668,44591.666666666664,1.7638254840590097,True
Colorado State University-Pueblo,21356.69230769231,35069.230769230766,1.7170614128801203,True
Western State Colorado University,21562.571428571428,25942.85714285714,1.1390214367417326,False
Albertus Magnus College,30738.8,35620.0,1.1796991033009425,False
University of Bridgeport,27817.0,35737.5,1.3319406364158322,False
Central Connecticut State University,23226.379310344826,43051.724137931036,1.901017283782968,True
University of Connecticut,21634.88888888889,41133.333333333336,1.8511883787537673,True
University of Hartford,24406.9,36230.0,1.422673472235258,False
University of New Haven,25296.916666666668,38883.333333333336,1.4946721695057779,False
Quinnipiac University,23019.714285714286,43292.857142857145,1.748708564719422,True
University of Saint Joseph,30323.0,68600.0,2.4945454545454546,True
Southern Connecticut State University,24239.222222222223,35138.88888888889,1.475620089532982,False
Trinity College,19178.5,50600.0,2.4568145978824063,True
Yale University,14384.6,51120.0,3.924757861560134,True
Delaware State University,30617.9,33050.0,1.1303174279621069,False
University of Delaware,21620.516129032258,44138.709677419356,1.8202716869694295,True
American University,22039.63157894737,37715.78947368421,1.559900420884838,True
Gallaudet University,17509.0,39600.0,2.3294117647058825,True
George Washington University,22139.5,45555.0,1.9568117104293126,True
Georgetown University,14446.0625,58850.0,3.8977961651973163,True
Howard University,26686.458333333332,38958.333333333336,1.4628757432132005,False
The Baptist College of Florida,20337.0,27300.0,1.5018980029707871,True
Barry University,31174.11111111111,40933.333333333336,1.3355425441490951,False
Johnson University Florida,25828.0,24533.333333333332,0.9449596520537273,False
University of Central Florida,19759.5,34892.10526315789,1.845258765919577,True
Eckerd College,22198.75,27925.0,1.1259677042486387,False
Embry-Riddle Aeronautical University-Daytona Beach,25543.85714285714,50757.142857142855,1.9555606951662483,True
Florida Agricultural and Mechanical University,28609.166666666668,33844.444444444445,1.2136782591004522,False
Florida Atlantic University,20168.780487804877,36934.14634146341,1.983577481716499,True
Flagler College-St Augustine,22279.11111111111,30255.555555555555,1.4432516547572545,False
AdventHealth University,25575.666666666668,50166.666666666664,2.0024254419229504,True
Florida Institute of Technology,25394.25,46775.0,1.7543012095855226,True
Florida International University,20410.15,37095.0,2.0189078999326084,True
Florida Southern College,23214.0,35457.142857142855,1.5320343528831581,True
Florida State University,20757.618181818183,36803.63636363636,1.7762853618553038,True
University of Florida,17826.354838709678,38051.6129032258,2.196421184659295,True
Jacksonville University,24183.0,43700.0,1.844302970569359,True
University of Miami,18159.916666666668,38750.0,2.0692600539334634,True
University of North Florida,18776.433333333334,37923.333333333336,2.230883856312268,True
Nova Southeastern University,25290.625,33525.0,1.4464194388993188,False
Palm Beach Atlantic University,23376.428571428572,34000.0,1.4982388927470196,False
Saint Leo University,28345.5,36794.444444444445,1.3429487794290857,False
University of South Florida-Main Campus,20626.0,36074.0,1.8728452424586979,True
St. Thomas University,19558.0,40000.0,2.356128880249749,True
Southeastern University,23020.5,29150.0,1.3271537520007533,False
The University of Tampa,23604.466666666667,35513.333333333336,1.4246727180604295,False
Warner University,27003.666666666668,33533.333333333336,1.4017819860161416,False
Webber International University,27976.0,25600.0,0.8904347826086957,False
The University of West Florida,20764.48,32044.0,1.6741101960818014,True
Abraham Baldwin Agricultural College,19924.4,30620.0,1.6199532453390382,True
Point University,33520.0,29800.0,0.9251368851122121,False
Clark Atlanta University,31519.0,24760.0,0.810481118295252,False
Berry College,21226.625,32700.0,1.436816638871419,False
Brenau University,34255.0,59300.0,1.6704225352112676,True
College of Coastal Georgia,20122.0,32320.0,1.8409021922065398,True
Columbus State University,28926.63157894737,31242.105263157893,1.1379417710489812,False
Covenant College,23355.0,32100.0,1.2113207547169809,False
Emmanuel College,25733.8,38160.0,1.4133333333333336,False
Emory University,19308.764705882353,41394.117647058825,2.0302760707038687,True
Fort Valley State University,38164.333333333336,23066.666666666668,0.5762562878636467,False
Georgia Institute of Technology-Main Campus,23298.166666666668,60744.444444444445,2.5108634256715923,True
Georgia Southwestern State University,22040.5,36750.0,1.844775414956341,True
Georgia College & State University,21956.6,36433.333333333336,1.6079276860452305,True
Georgia Southern University,25133.697674418603,36186.04651162791,1.514183015921228,True
Georgia State University,25150.871794871793,35956.41025641026,1.4845141213422521,False
University of Georgia,19495.01886792453,35379.24528301887,1.8166562323973827,True
Gordon State College,24378.6,35540.0,1.6268784546518014,True
LaGrange College,21105.0,57400.0,2.6407802723592195,True
Life University,22411.0,24500.0,1.3008389083572265,False
Mercer University,29021.444444444445,42444.444444444445,1.5149634214275698,True
Morehouse College,25243.666666666668,43066.666666666664,1.7870317513824092,True
Oglethorpe University,27040.0,33500.0,1.2284603561457579,False
Piedmont College,26549.75,37975.0,1.4902371677569408,False
Savannah College of Art and Design,25644.7,25390.0,0.9504430185286772,False
Savannah State University,35117.6,28090.0,0.8520080343692162,False
Shorter University,29205.333333333332,36233.333333333336,1.3074070657112928,False
Spelman College,26137.666666666668,32300.0,1.2336679794276713,False
Truett McConnell University,24186.5,42550.0,1.7598485727652196,True
Valdosta State University,27344.45,29980.0,1.1356208277347961,False
Wesleyan College,21519.0,57300.0,2.4454782126243013,True
University of West Georgia,26528.454545454544,33331.818181818184,1.2653092066956768,False
Chaminade University of Honolulu,24693.8,39260.0,1.570958087764684,True
University of Hawaii at Hilo,21009.5,29230.0,1.4462409554079876,False
University of Hawaii at Manoa,20397.475,37800.0,1.9296885082611823,True
Hawaii Pacific University,23961.0,37400.0,1.524793931736225,True
University of Hawaii-West Oahu,16813.0,37420.0,2.6718360429256527,True
Boise State University,25634.342857142856,37294.28571428572,1.554650159330079,True
University of Idaho,24364.8125,35228.125,1.4712175624897839,False
Lewis-Clark State College,23400.7,33890.0,1.7325812109066185,True
Northwest Nazarene University,26166.666666666668,44133.333333333336,1.7396714237736877,True
Brigham Young University-Idaho,14940.59375,35387.5,2.829133684142511,True
School of the Art Institute of Chicago,26172.0,20000.0,0.7407407407407407,False
Aurora University,22577.0,36400.0,1.605701527811463,True
Bradley University,23989.272727272728,44677.27272727273,1.6824597166653141,True
Chicago State University,35859.142857142855,32928.57142857143,0.8612148541831982,False
University of Chicago,17484.454545454544,48672.72727272727,2.702279256801802,True
Concordia University-Chicago,22536.5,35050.0,1.5427742074318738,True
Eastern Illinois University,23216.894736842107,34036.84210526316,1.4796856633821416,False
Elmhurst College,22076.428571428572,38414.28571428572,1.7342449809426792,True
Eureka College,22425.0,31550.0,1.4625010595914216,False
Governors State University,20425.46153846154,37200.0,2.012635362684114,True
Greenville University,12164.0,28300.0,2.8780636631750234,True
University of Illinois at Chicago,19687.0,39392.68292682927,2.1335643936709245,True
Benedictine University,24694.85714285714,43885.71428571428,2.0238950180818303,True
University of Illinois at Urbana-Champaign,19796.964912280702,45189.47368421053,2.2128082937710984,True
Illinois Wesleyan University,25033.333333333332,38633.333333333336,1.4442564906283841,False
Illinois Institute of Technology,25362.88888888889,60600.0,2.3383573599761336,True
Illinois State University,21684.441860465115,40160.46511627907,1.83594732728544,True
Judson University,22611.0,40350.0,1.704306834905542,True
Lewis University,24321.333333333332,43583.333333333336,1.8514151786014788,True
Lincoln College,18326.0,48100.0,3.5401486715242516,True
Loyola University Chicago,23245.47619047619,39695.23809523809,1.6027200152700627,True
MacMurray College,25744.75,35700.0,1.4964815613316085,False
McKendree University,23868.88888888889,39088.88888888889,1.6477782008603954,True
Methodist College,34793.0,56100.0,1.5588962680968128,True
Millikin University,24656.444444444445,33377.77777777778,1.321991933688443,False
Monmouth College,25410.25,31200.0,1.215050925925926,False
North Central College,22924.53846153846,35330.769230769234,1.4934373453695133,False
North Park University,25168.714285714286,34142.857142857145,1.3613480356152685,False
Northern Illinois University,24622.552631578947,38286.84210526316,1.5998953165780083,True
Northwestern University,15123.90909090909,50050.0,3.3629531532320054,True
Northeastern Illinois University,17665.4,36435.0,2.427387187071036,True
Olivet Nazarene University,24987.916666666668,35150.0,1.3978673166881268,False
Quincy University,12227.0,54600.0,4.55,True
Rockford University,23840.333333333332,40766.666666666664,1.5224655573141692,True
Roosevelt University,24474.4375,35306.25,1.5072549227953183,True
Dominican University,24494.0,34527.27272727273,1.3952240269437044,False
University of St Francis,23879.25,53600.0,2.2422947667041453,True
Saint Xavier University,24812.076923076922,37453.846153846156,1.4818646397589166,False
University of Illinois at Springfield,20620.0,37062.5,1.87016731835087,True
Southern Illinois University-Carbondale,23252.74418604651,35841.86046511628,1.6851530341957661,True
Southern Illinois University-Edwardsville,23079.11111111111,37559.25925925926,1.7029648667839243,True
Trinity Christian College,28124.5,50200.0,1.8592592592592594,True
Trinity International University-Illinois,31597.333333333332,32066.666666666668,1.086520082292941,False
VanderCook College of Music,31492.0,34400.0,1.1913419913419914,False
Western Illinois University,26645.4375,33725.0,1.3180977143288033,False
Wheaton College,21304.625,30512.5,1.3619010541417107,False
Anderson University,27504.9375,35325.0,1.2843918296393408,False
Ball State University,23196.575,35332.5,1.4312645278268163,False
Bethel College-Indiana,27756.666666666668,41466.666666666664,1.574361050434393,True
Butler University,14830.0,32200.0,2.6833333333333336,True
DePauw University,22365.666666666668,43233.333333333336,1.7017622337407345,True
University of Evansville,26334.0,54400.0,2.0148148148148146,True
Goshen College,20090.0,53000.0,2.6962405250038155,True
Grace College and Theological Seminary,21072.714285714286,28128.571428571428,1.4138093086810428,False
Hanover College,24215.0,34033.333333333336,1.2612659876016343,False
Holy Cross College,21805.0,37800.0,1.591578947368421,True
Huntington University,24890.0,48400.0,1.7925925925925923,True
Purdue University Fort Wayne,25530.6,37113.333333333336,1.4850359741126313,False
Indiana University-Purdue University-Indianapolis,24565.341463414636,41017.07317073171,1.7679985199473192,True
University of Indianapolis,26518.6,33420.0,1.2752181006688867,False
Indiana Institute of Technology,30463.333333333332,36700.0,1.347535095300837,False
University of Southern Indiana,21414.68,36908.0,1.6558989097085208,True
Indiana State University,24127.714285714286,36660.71428571428,1.5211674186443178,True
Indiana University-Kokomo,21402.85714285714,34600.0,1.8016108666846993,True
Indiana University-South Bend,24799.5,37330.0,1.5422893179542028,True
Indiana University-Bloomington,20067.073170731706,34314.634146341465,1.6079140009829282,True
Indiana University-Northwest,26333.6,36250.0,1.4267699441137256,False
Indiana University-Southeast,21367.555555555555,34444.444444444445,1.8195382309341268,True
Indiana University-East,20635.625,34700.0,1.7710192669755722,True
Marian University,27361.2,41420.0,1.553807009923954,True
Indiana Wesleyan University-Marion,26539.235294117647,38247.05882352941,1.50059031731049,True
University of Notre Dame,17974.72,52212.0,2.740613948571164,True
Oakland City University,22747.0,38250.0,1.669280453543767,True
Rose-Hulman Institute of Technology,23287.285714285714,77157.14285714286,2.9272981146257933,True
University of Saint Francis-Fort Wayne,25649.75,39425.0,1.471835942878042,False
Saint Mary-of-the-Woods College,21935.5,29800.0,1.59110239136547,True
Saint Mary's College,23388.75,42825.0,1.6181330651918888,True
Taylor University,21479.0,39960.0,1.737149864386295,True
Trine University,22219.555555555555,43577.77777777778,2.0434322049842226,True
Valparaiso University,25157.9375,39900.0,1.4927033653453343,False
Wabash College,25353.333333333332,37633.333333333336,1.4180143066087707,False
Buena Vista University,23188.222222222223,35155.555555555555,1.4997832077150806,False
Central College,26263.2,33840.0,1.2748124723664294,False
Clarke University,27046.333333333332,40400.0,1.5055809445844008,True
Coe College,24740.166666666668,36800.0,1.393922386190404,False
Dordt College,19637.666666666668,48233.333333333336,2.37894409639687,True
Drake University,21716.076923076922,39492.307692307695,1.772340566011829,True
University of Dubuque,24545.0,39712.5,1.6801864485030615,True
Graceland University-Lamoni,21060.333333333332,41533.333333333336,2.0742775506988234,True
Grand View University,22978.46153846154,38207.692307692305,1.695674228736282,True
Grinnell College,14272.666666666666,27216.666666666668,1.969428063891061,True
Iowa State University,22836.80701754386,43128.070175438595,1.8325672555260335,True
University of Iowa,22002.095238095237,39538.09523809524,1.704662545623579,True
Loras College,24359.333333333332,37900.0,1.4384130666922716,False
Luther College,24349.066666666666,35580.0,1.336619682012027,False
Mercy College of Health Sciences,21495.0,54600.0,2.8,True
Morningside College,26167.0,39840.0,1.4823873015873015,False
Mount Mercy University,23360.0,43844.444444444445,1.9406019501675331,True
University of Northern Iowa,20395.354838709678,37783.87096774193,1.876998722962404,True
Saint Ambrose University,24159.0,38500.0,1.4814423183874377,False
Simpson College,25644.0,40450.0,1.5467303337910947,True
Upper Iowa University,25198.727272727272,38945.454545454544,1.6334433614474506,True
Waldorf University,18377.0,70100.0,4.145721213554912,True
Wartburg College,25256.333333333332,35200.0,1.3083391567668299,False
William Penn University,31342.0,54800.0,1.9307331853574323,True
Baker University,23427.4,42680.0,1.841944578054542,True
Benedictine College,24185.833333333332,37383.333333333336,1.4537181772838759,False
Bethany College,28097.0,24900.0,0.9222222222222224,False
Central Christian College of Kansas,27317.333333333332,38833.333333333336,1.6766410867067065,True
Emporia State University,21674.14285714286,33685.71428571428,1.6428522604317088,True
Friends University,28769.666666666668,43633.333333333336,1.5567305782283707,True
University of Kansas,22093.2,41563.333333333336,1.8730467140494105,True
Newman University,20642.5,42000.0,2.0616091954022986,True
MidAmerica Nazarene University,17563.5,53000.0,3.377168253968254,True
Pittsburg State University,21875.166666666668,38661.11111111111,1.7854917061268611,True
University of Saint Mary,21006.0,60000.0,2.7906976744186047,True
Southwestern College,28102.5,41450.0,1.5555041961709941,True
Sterling College,25219.0,28800.0,1.1878247958426131,False
Wichita State University,24457.51851851852,38766.666666666664,1.6438793097248112,True
Asbury University,23469.0,24300.0,1.0106156168671798,False
Bellarmine University,23652.4,37240.0,1.444501897543407,False
Berea College,6262.0,25800.0,6.365597128279112,True
Brescia University,31665.0,32200.0,0.9140715928123314,False
Campbellsville University,20769.333333333332,29366.666666666668,1.423894286378751,False
Centre College,24042.0,45200.0,1.674074074074074,True
University of the Cumberlands,17303.5,31500.0,1.8855354934492468,True
Eastern Kentucky University,24917.222222222223,33655.555555555555,1.3638537722966315,False
Georgetown College,26201.333333333332,25166.666666666668,0.9320987654320988,False
Kentucky State University,30837.75,33475.0,1.0936254754694232,False
University of Kentucky,22402.91304347826,36356.52173913043,1.5869737648792355,True
Kentucky Christian University,24226.0,47500.0,2.136196319018405,True
University of Louisville,21407.931034482757,40241.379310344826,1.8946936170698607,True
Midway University,25501.75,43050.0,1.6879831430547194,True
Morehead State University,24852.130434782608,31965.217391304348,1.3563771008082501,False
Murray State University,22665.85,35435.0,1.6198933149737318,True
Northern Kentucky University,25734.10714285714,37439.28571428572,1.500866231272665,True
University of Pikeville,24636.5,24625.0,0.9354239683205466,False
Spalding University,23953.666666666668,38833.333333333336,1.5883448198028522,True
Thomas More College,27669.0,50600.0,1.9442223866482742,True
Union College,22613.375,43612.5,1.7411921754655666,True
Western Kentucky University,24958.891891891893,33997.2972972973,1.4328351697584503,False
Dillard University,36145.333333333336,34100.0,0.9180971791463595,False
Louisiana State University-Alexandria,23087.0,30366.666666666668,1.3241137484086491,False
Louisiana State University and Agricultural & Mechanical College,20710.25581395349,38383.72093023256,1.8229993571662393,True
Louisiana State University-Shreveport,24653.0,31142.85714285714,1.2768017380890786,False
Louisiana College,25347.0,47750.0,2.0636446154426387,True
Louisiana Tech University,20519.5,39383.333333333336,1.9941444602136924,True
Loyola University New Orleans,22298.0,15200.0,0.6125821142143232,False
McNeese State University,22423.285714285714,35742.857142857145,1.729638297159649,True
University of New Orleans,19880.0625,33712.5,1.9034443612821934,True
Nicholls State University,23831.416666666668,33166.666666666664,1.5345488255254949,True
University of Louisiana at Monroe,20868.0,43900.0,2.5453825959524017,True
Northwestern State University of Louisiana,23110.466666666667,32980.0,1.4436096367328106,False
University of Holy Cross,34142.0,60900.0,1.8234078864636665,True
Franciscan Missionaries of Our Lady University,25769.0,59400.0,2.376,True
Southeastern Louisiana University,22055.652173913044,34747.82608695652,1.610031029142886,True
Southern University and A & M College,32206.11111111111,30611.11111111111,0.9735362102095161,False
Southern University at New Orleans,27081.0,24900.0,0.996,False
University of Louisiana at Lafayette,23120.896551724138,35444.8275862069,1.6144789950513614,True
Tulane University of Louisiana,22451.6,35400.0,1.4959059572338922,False
Xavier University of Louisiana,28666.0,22533.333333333332,0.7979339268360771,False
Colby College,17294.75,39975.0,2.268074705134082,True
University of Maine at Fort Kent,19792.0,58100.0,2.8341463414634145,True
University of Maine,24420.63157894737,41400.0,1.5905169673980695,True
Maine Maritime Academy,25937.25,74825.0,2.7712962962962964,True
University of New England,24999.285714285714,35200.0,1.3037037037037038,False
University of Southern Maine,22941.153846153848,37976.92307692308,1.6773596874402381,True
University of Baltimore,23368.5,36350.0,1.6310983590053358,True
Bowie State University,25001.375,40175.0,1.658615943197323,True
Coppin State University,24291.75,41775.0,1.7649843762531066,True
Frostburg State University,20564.0,37528.57142857143,2.4024933310982886,True
Johns Hopkins University,15528.533333333333,52980.0,3.3316090474762023,True
University of Maryland-Baltimore County,21744.333333333332,40119.04761904762,1.817286190198352,True
University of Maryland-College Park,19307.9375,45345.833333333336,2.2813365168214266,True
Maryland Institute College of Art,22582.666666666668,20200.0,0.7858503744346409,False
University of Maryland Eastern Shore,27402.875,27450.0,1.0023911723430683,False
Morgan State University,31831.764705882353,36647.05882352941,1.1880698000225423,False
Mount St. Mary's University,21748.5,39800.0,1.5397314169893621,True
Notre Dame of Maryland University,25398.333333333332,44400.0,1.8702795906769545,True
St. Mary's College of Maryland,19726.428571428572,34642.857142857145,1.6729507011153693,True
St. John's College,26705.0,21500.0,0.7962962962962963,False
Towson University,19250.72972972973,37383.78378378379,1.9729528783998418,True
Stevenson University,27203.733333333334,37986.666666666664,1.4161489049978555,False
McDaniel College,25032.14285714286,30357.14285714286,1.1485778744661996,False
American International College,30123.5,50750.0,1.7065729761381934,True
Amherst College,16104.5,59650.0,3.85224358974359,True
Babson College,21952.0,57900.0,2.490322580645161,True
Bay Path University,25359.0,35866.666666666664,1.5315108139564861,True
Becker College,28002.666666666668,34833.333333333336,1.2353263897816402,False
Bentley University,22505.7,58220.0,2.3281288351604874,True
Boston College,15053.454545454546,51381.818181818184,3.1674304353822307,True
Boston University,23059.324324324323,41100.0,1.5921291628269807,True
Brandeis University,23236.14285714286,41228.57142857143,1.6068304823900743,True
Bridgewater State University,24058.52380952381,35633.333333333336,1.4251446996401609,False
Curry College,25099.285714285714,36357.142857142855,1.3876581196581197,False
Dean College,25142.0,26733.333333333332,1.007929160995432,False
Eastern Nazarene College,20167.0,37550.0,1.922705314009662,True
Emerson College,21808.375,30337.5,1.2870680581297425,False
Fitchburg State University,22787.363636363636,36863.63636363636,1.5216477254513883,True
Framingham State University,23076.8,32550.0,1.2871845930631634,False
Gordon College,24635.428571428572,32185.714285714286,1.2436691556240838,False
Harvard University,18263.0,52000.0,3.466666666666667,True
Lasell College,26182.625,35500.0,1.3155424390288792,False
Lesley University,22420.714285714286,29042.85714285714,1.2464725452122816,False
University of Massachusetts-Lowell,25482.764705882353,46600.0,1.79560850459317,True
University of Massachusetts-Amherst,22242.816326530614,40942.857142857145,1.6966700350511124,True
University of Massachusetts-Boston,23277.454545454544,37490.90909090909,1.6814743649538193,True
MCPHS University,26177.333333333332,48383.333333333336,1.777925279839316,True
Massachusetts Institute of Technology,13894.444444444445,84622.22222222222,7.053438811660062,True
Massachusetts Maritime Academy,23891.0,60666.666666666664,2.2914804863471283,True
Mount Holyoke College,18181.714285714286,30814.285714285714,1.6380573707575032,True
Massachusetts College of Liberal Arts,23270.25,32300.0,1.3406520715403707,False
Northeastern University,24378.4375,52318.75,1.9740716029098881,True
College of Our Lady of the Elms,25789.5,52350.0,2.0134690265486723,True
Salem State University,24734.266666666666,34253.333333333336,1.3637059096828026,False
Simmons University,23595.0,47966.666666666664,1.9092650126750612,True
Springfield College,24409.0,33400.0,1.3731849473925704,False
University of Massachusetts-Dartmouth,25557.5625,44400.0,1.6955320912095153,True
Suffolk University,25133.6,39060.0,1.469461287200846,False
Tufts University,15967.07142857143,47692.857142857145,2.8377080299975646,True
Wellesley College,10328.0,47828.57142857143,5.587902006602934,True
Wentworth Institute of Technology,25252.30769230769,62576.92307692308,2.3291942516871806,True
Westfield State University,21648.4,33845.0,1.429084996926793,False
Williams College,12994.5,48230.0,3.780411874999712,True
Adrian College,27865.0,33080.0,1.2322475900558092,False
Albion College,25632.5,28450.0,1.0537037037037036,False
Alma College,24637.0,34000.0,1.2952380952380953,False
Aquinas College,23638.375,28962.5,1.1478622305110313,False
Calvin College,22633.30769230769,38907.692307692305,1.542995403215277,True
Central Michigan University,28244.82978723404,36063.82978723404,1.2834998982623533,False
Cleary University,28764.0,60000.0,2.255639097744361,True
Concordia University-Ann Arbor,27006.166666666668,38633.333333333336,1.4421775506171286,False
College for Creative Studies,27541.5,26275.0,0.9995202456342354,False
University of Detroit Mercy,21838.25,48150.0,2.3198008841627336,True
Eastern Michigan University,27123.72972972973,36767.56756756757,1.4818865355363984,False
